name,cname,category,symbol,price,diff,chg,preclose,open,high,low,amplitude,volume,mktcap,pe,market,category_id
NVIDIA Corp.,英伟达公司,半导体,NVDA,205.10,-13.56,-6.20,218.66,214.53,214.87,204.33,4.82%,219655531,4967727247833,31.21765613,NASDAQ,12
"Apple, Inc.",苹果公司,计算机,AAPL,307.34,-3.89,-1.25,311.23,312.86,315.17,307.15,2.58%,65310417,4514011939253,37.02891437,NASDAQ,5
"Alphabet, Inc.",谷歌A类股,媒体内容,GOOGL,368.53,-3.66,-0.98,372.19,366.34,372.08,364.12,2.14%,37471188,4483535965149,27.81358481,NASDAQ,702
"Alphabet, Inc.",谷歌,互联网,GOOG,365.76,-3.51,-0.95,369.27,363.38,369.20,361.63,2.05%,23411519,4449836278809,27.60452904,NASDAQ,41
Microsoft Corp.,微软公司,软件,MSFT,416.67,-11.38,-2.66,428.05,428.34,429.47,414.40,3.52%,34782085,3096263201354,24.72819015,NASDAQ,14
"Amazon.com, Inc.",亚马逊公司,互联网,AMZN,246.03,-7.76,-3.06,253.79,254.25,256.38,245.78,4.18%,55607841,2646571344624,28.97879922,NASDAQ,41
"Taiwan Semiconductor Manufacturing Co., Ltd.",台湾积体电路制造公司,半导体,TSM,415.17,-29.75,-6.69,444.92,429.77,433.90,412.79,4.74%,19644058,2153787295426,34.51122383,NYSE,12
Broadcom Inc.,博通,半导体,AVGO,385.73,-33.18,-7.92,418.91,407.61,410.50,385.59,5.95%,51145976,1826303642261,62.31502543,NASDAQ,12
"Meta Platforms, Inc.","Meta Platforms, Inc.",,META,593.00,-34.57,-5.51,627.57,623.46,629.14,582.91,7.37%,30091583,1505285019272,21.22405113,NASDAQ,
"Tesla, Inc.",特斯拉,汽车制造,TSLA,391.00,-27.45,-6.56,418.45,420.50,424.68,388.59,8.62%,63420108,1468488033561,325.83332039,NASDAQ,155
